号	地点 記号	掲載地点名	緯度 （北緯）	経度 （東経）	MSL- 潮位表 基準面 （cm）	MSLの 標高 （cm）	潮位表 基準面 の標高 （cm）	主要4分潮								分潮一覧表	備考
83	Z5	焼津	34゜52'	138゜20'	95	27.2	-67.8	40.16	164.62	18.78	190.31	22.92	182.56	17.27	161.1	-	
84	OM	御前崎	34゜37'	138゜13'	100	14.9	-85.1	40.66	166.19	18.82	191.5	23.21	185.29	17.82	164.16	2024年	
85	MI	舞阪	34゜41'	137゜37'	70	12.2	-57.8	31.67	179.06	14.02	203.43	16.98	193.24	12.41	173.43	2024年	
86	I4	赤羽根	34゜36'	137゜11'	105	2.6	-102.4	44.17	167.6	20.34	192.28	22.05	182.52	16.41	162.9	2024年	
87	G4	三河	34゜44'	137゜19'	135	-	-	61.9	176.46	29.12	202.43	24	186.77	17.78	166.38	-	
88	G5	形原	34゜47'	137゜11'	135	-	-	60.4	180.28	28.12	206.47	23.87	189.7	18.14	168.58	-	
89	G8	衣浦	34゜53'	136゜57'	130	-	-	60.34	177.6	28.41	203.64	23.71	186.65	17.61	166.89	-	
90	ZD	鬼崎	34゜54'	136゜49'	130	4.3	-125.7	61.89	177.04	29.05	203.19	23.92	186.56	17.75	166.46	-	
91	NG	名古屋	35゜05'	136゜53'	140	9.2	-130.8	64.74	177.7	30.35	203.85	24.03	186.49	17.78	166.66	2024年	
92	G3	四日市港	34゜58'	136゜38'	130	-	-	62.66	176.83	29.43	203.01	23.91	186.21	17.74	166.21	-	
93	TB	鳥羽	34゜29'	136゜49'	120	6.7	-113.3	54.36	178.32	25.35	204.22	23.17	187.53	17.25	167.12	2024年	
94	OW	尾鷲	34゜05'	136゜12'	104	9.9	-94.1	43.62	169.94	19.74	193.97	22.16	185.51	17.11	165.52	2024年	
95	KN	熊野	33゜56'	136゜10'	102	13.3	-88.7	43.36	170.13	19.78	194.07	22.01	186.64	17.11	167.09	2024年	
96	UR	浦神	33゜34'	135゜54'	105	23.9	-81.1	45.37	171.18	20.36	195.7	21.41	186.59	16.39	167.95	2024年	
97	KS	串本	33゜29'	135゜46'	105	29.9	-75.1	45.8	173.47	20.48	196.46	21.84	186.62	16.38	166.83	2024年	
98	SR	白浜	33゜41'	135゜23'	110	14.1	-95.9	47.57	172.29	21.51	197.09	21.94	188.82	16.92	168.04	2024年	
99	GB	御坊	33゜51'	135゜10'	110	12.9	-97.1	48.18	173.55	21.86	198.13	22.01	188.07	17.02	167.95	2024年	
100	H1	下津	34゜07'	135゜08'	110	-	-	45.04	186.14	21.43	209.21	23.85	192.24	18.14	170.91	-	
101	Z9	海南	34゜09'	135゜12'	111	11	-100	44.48	186.39	21.35	208.29	24.03	191.39	18.33	170.48	-	
102	WY	和歌山	34゜13'	135゜09'	111	15	-96	43.88	187.6	21.19	209.31	24.04	191.73	18.36	170.85	2024年	
103	TN	淡輪	34゜20'	135゜11'	95	15.7	-79.3	31.76	205.11	17.48	221.6	25.38	200.87	19.07	179.06	2024年	
104	KK	関空島	34゜26'	135゜12'	95	-	-	30.03	209.45	16.92	224.49	25.29	203.14	19.19	181.97	-	
105	J2	岸和田	34゜28'	135゜22'	95	-	-	31.39	211.79	16.7	227.38	25.95	203.69	19.84	180.56	-	
106	IO	泉大津	34゜31'	135゜24'	95	-	-	30.36	213.62	17.31	226.36	25.89	203.09	19.15	180.92	-	
107	SI	堺	34゜36'	135゜28'	95	-	-	30.61	213.73	17.28	228.44	26.34	202.7	19.65	181.2	-	
108	OS	大阪	34゜39'	135゜26'	95	19.2	-75.8	29.89	215.29	16.85	227.89	26.03	203.66	19.47	181.35	2024年	
109	AM	尼崎	34゜42'	135゜24'	95	-	-	29.47	216.19	16.55	228.47	25.77	204.09	19.3	181.68	-	
110	J5	西宮	34゜43'	135゜20'	95	-	-	29.54	215.95	16.59	228.1	26.05	203.81	19.45	181.73	-	
111	KB	神戸	34゜41'	135゜11'	95	21.1	-73.9	28.37	216.39	16.11	228.42	25.64	203.78	19.19	181.47	2024年	
112	AK	明石	34゜39'	134゜59'	70	-	-	15.58	258.66	8.81	242.26	25.47	216.73	19.47	194.82	-	
113	ST	洲本	34゜21'	134゜54'	95	20.4	-74.6	28.88	193.22	16.3	214.12	23.36	203.48	17.71	181.57	2024年	
114	EI	江井	34゜28'	134゜50'	80	-	-	29.35	333.4	5.99	337.16	27.25	229.06	20.17	204.82	-	
115	K1	姫路（飾磨）	34゜47'	134゜40'	90	-	-	33.53	319.81	8.42	322.43	28.04	225.39	20.71	201.17	-	
116	SB	三蟠	34゜36'	133゜59'	130	-	-	60.14	321.04	18.88	339.13	30.77	228.79	22.42	204.51	-	
117	UN	宇野	34゜29'	133゜57'	140	21.3	-118.7	67.42	327.21	21.62	352.81	30.06	233.74	21.97	209.62	2024年	
118	MM	水島	34゜32'	133゜44'	190	-	-	101.54	326.44	36.57	359.45	32.71	234.65	23.7	210.17	-	
119	LG	乙島	34゜30'	133゜41'	200	-	-	105.33	325.62	38.44	358.95	32.69	236.21	23.6	212.6	-	
120	IZ	糸崎	34゜24'	133゜05'	200	-	-	108.18	312.09	40.91	344.5	32.7	231.57	23.67	208.19	-	
